student_id,student_name,assessment_number,score
1000,Abdula Murphy,4,69.97
1001,Ben Murphy,4,75.13
1002,Megan McCarthy,4,58.78
1003,Darragh McCarthy,4,63.39
1004,Megan Sheehan,4,51.77
1005,Darragh Kennedy,4,53.14
1006,Kate Doyle,4,67.43
1007,Aaron Sheehan,4,66.18
1008,Michael Ryan,4,53.81
1009,Ciara Byrne,4,80.81
1010,Aaron Boyle,4,56.73
1011,Kate Kelly,4,64.32
1012,Adam McMahon,4,82.64
1013,Ben Kelly,4,80.45
1014,Ciara Quinn,4,48.16
1015,Ciara Sheehan,4,93.17
1016,Kate Walsh,4,73.84
1017,Megan Doyle,4,65.62
1018,Darragh Walsh,4,79.14
1019,Abdula McMahon,4,74.5
1020,Darragh Ryan,4,61.64
1021,Alex McMahon,4,73.05
1022,Adam Moran,4,93.68
1023,Abdula Boyle,4,89.93
1024,Megan Doyle,4,0.0
1025,Darragh Doyle,4,100.0
1026,Darragh Moran,4,65.03
1027,Aaron Kelly,4,61.95
1028,Michael Walsh,4,0.0
1029,Abdula Murphy,4,72.38
1030,Abdula Murphy,4,74.61
1031,Leo Quinn,4,62.29
1032,Ciara Boyle,4,56.98
1033,Aaliyah Doyle,4,76.85
1034,Killian Kennedy,4,55.82
1035,Aaron McMahon,4,34.41
1036,Aaron McCarthy,4,65.69
1037,Adam Sheehan,4,0.0
1038,Adam Byrne,4,87.38
1039,Aaron Walsh,4,57.1
1040,Ciara Doyle,4,66.93
1041,Megan Boyle,4,52.2
1042,Adam Quinn,4,85.14
1043,Ciara Murphy,4,69.2
1044,Aaron Smith,4,67.9
1045,Megan Sheehan,4,81.01
1046,Ben Quinn,4,0.0
1047,Megan Boyle,4,0.0
1048,Aaron Walsh,4,68.15
1049,Aaron McCarthy,4,62.93
1050,Megan Doyle,4,43.06
1051,Conor McCarthy,4,0.0
1052,Killian Sheehan,4,78.04
1053,Kate Moran,4,0.0
1054,Conor Sheehan,4,0.0
1055,Aaliyah McCarthy,4,81.47
1056,Killian McCarthy,4,55.16
1057,Michael McMahon,4,56.59
1058,Darragh Doyle,4,47.21
1059,Leo Ryan,4,45.23
1060,Alex McMahon,4,52.01
1061,Darragh McMahon,4,68.72
1062,Leo McCarthy,4,63.09
1063,Michael Sheehan,4,63.02
1064,Kate Quinn,4,88.32
1065,Alex Byrne,4,66.59
1066,Michael Sheehan,4,62.31
1067,Megan Quinn,4,55.27
1068,Megan Smith,4,33.98
1069,Ciara Kelly,4,0.0
1070,Conor Walsh,4,96.62
1071,Darragh Murphy,4,38.05
1072,Aaliyah Sheehan,4,71.32
1073,Alex Doyle,4,78.01
1074,Killian Walsh,4,66.51
1075,Aaron Walsh,4,62.67
1076,Michael Sheehan,4,54.88
1077,Adam Smith,4,0.0
1078,Megan Walsh,4,65.15
1079,Adam Quinn,4,73.25
1080,Leo McMahon,4,62.65
1081,Conor Kennedy,4,31.74
1082,Darragh Kelly,4,79.03
1083,Adam Doyle,4,56.4
1084,Megan Ryan,4,37.33
1085,Megan Kelly,4,73.01
1086,Aaliyah Murphy,4,60.3
1087,Megan McCarthy,4,73.17
1088,Michael Kennedy,4,78.84
1089,Aaron McCarthy,4,67.04
1090,Darragh Ryan,4,74.53
1091,Conor Doyle,4,42.67
1092,Kate Kennedy,4,80.12
1093,Kate Murphy,4,0.0
1094,Abdula Walsh,4,51.68
1095,Ciara Ryan,4,77.44
1096,Alex Kennedy,4,73.51
1097,Killian Smith,4,62.45
1098,Adam Moran,4,67.87
1099,Michael Moran,4,80.78
