student_id,student_name,email,assessment_number,score
1000,Abdula Murphy,student1000@mumail.ie,6,59.65
1001,Ben Murphy,student1001@mumail.ie,6,59.94
1002,Megan McCarthy,student1002@mumail.ie,6,83.17
1003,Darragh McCarthy,student1003@mumail.ie,6,40.09
1004,Megan Sheehan,student1004@mumail.ie,6,48.32
1005,Darragh Kennedy,student1005@mumail.ie,6,87.78
1006,Kate Doyle,student1006@mumail.ie,6,86.76
1007,Aaron Sheehan,student1007@mumail.ie,6,66.18
1008,Michael Ryan,student1008@mumail.ie,6,58.03
1009,Ciara Byrne,student1009@mumail.ie,6,78.59
1010,Aaron Boyle,student1010@mumail.ie,6,33.02
1011,Kate Kelly,student1011@mumail.ie,6,0.0
1012,Adam McMahon,student1012@mumail.ie,6,76.27
1013,Ben Kelly,student1013@mumail.ie,6,21.55
1014,Ciara Quinn,student1014@mumail.ie,6,88.33
1015,Ciara Sheehan,student1015@mumail.ie,6,67.75
1016,Kate Walsh,student1016@mumail.ie,6,73.02
1017,Megan Doyle,student1017@mumail.ie,6,83.73
1018,Darragh Walsh,student1018@mumail.ie,6,62.68
1019,Abdula McMahon,student1019@mumail.ie,6,0.0
1020,Darragh Ryan,student1020@mumail.ie,6,40.88
1021,Alex McMahon,student1021@mumail.ie,6,75.91
1022,Adam Moran,student1022@mumail.ie,6,40.79
1023,Abdula Boyle,student1023@mumail.ie,6,52.07
1024,Megan Doyle,student1024@mumail.ie,6,53.56
1025,Darragh Doyle,student1025@mumail.ie,6,48.35
1026,Darragh Moran,student1026@mumail.ie,6,26.32
1027,Aaron Kelly,student1027@mumail.ie,6,84.89
1028,Michael Walsh,student1028@mumail.ie,6,0.0
1029,Abdula Murphy,student1029@mumail.ie,6,80.94
1030,Abdula Murphy,student1030@mumail.ie,6,63.58
1031,Leo Quinn,student1031@mumail.ie,6,66.2
1032,Ciara Boyle,student1032@mumail.ie,6,85.09
1033,Aaliyah Doyle,student1033@mumail.ie,6,63.44
1034,Killian Kennedy,student1034@mumail.ie,6,59.16
1035,Aaron McMahon,student1035@mumail.ie,6,58.66
1036,Aaron McCarthy,student1036@mumail.ie,6,0.0
1037,Adam Sheehan,student1037@mumail.ie,6,67.99
1038,Adam Byrne,student1038@mumail.ie,6,83.9
1039,Aaron Walsh,student1039@mumail.ie,6,100.0
1040,Ciara Doyle,student1040@mumail.ie,6,45.94
1041,Megan Boyle,student1041@mumail.ie,6,64.42
