student_id,student_name,email,assessment_number,score
1000,Abdula Murphy,student1000@mumail.ie,2,65.83
1001,Ben Murphy,student1001@mumail.ie,2,69.5
1002,Megan McCarthy,student1002@mumail.ie,2,0.0
1003,Darragh McCarthy,student1003@mumail.ie,2,0.0
1004,Megan Sheehan,student1004@mumail.ie,2,63.08
1005,Darragh Kennedy,student1005@mumail.ie,2,40.32
1006,Kate Doyle,student1006@mumail.ie,2,34.16
1007,Aaron Sheehan,student1007@mumail.ie,2,96.14
1008,Michael Ryan,student1008@mumail.ie,2,75.97
1009,Ciara Byrne,student1009@mumail.ie,2,0.0
1010,Aaron Boyle,student1010@mumail.ie,2,54.77
1011,Kate Kelly,student1011@mumail.ie,2,69.06
1012,Adam McMahon,student1012@mumail.ie,2,73.95
1013,Ben Kelly,student1013@mumail.ie,2,62.53
1014,Ciara Quinn,student1014@mumail.ie,2,72.25
1015,Ciara Sheehan,student1015@mumail.ie,2,89.56
1016,Kate Walsh,student1016@mumail.ie,2,49.73
1017,Megan Doyle,student1017@mumail.ie,2,80.53
1018,Darragh Walsh,student1018@mumail.ie,2,55.89
1019,Abdula McMahon,student1019@mumail.ie,2,41.72
1020,Darragh Ryan,student1020@mumail.ie,2,58.05
1021,Alex McMahon,student1021@mumail.ie,2,63.21
1022,Adam Moran,student1022@mumail.ie,2,0.0
1023,Abdula Boyle,student1023@mumail.ie,2,0.0
1024,Megan Doyle,student1024@mumail.ie,2,74.16
1025,Darragh Doyle,student1025@mumail.ie,2,59.56
1026,Darragh Moran,student1026@mumail.ie,2,61.13
1027,Aaron Kelly,student1027@mumail.ie,2,65.3
1028,Michael Walsh,student1028@mumail.ie,2,69.95
1029,Abdula Murphy,student1029@mumail.ie,2,83.1
1030,Abdula Murphy,student1030@mumail.ie,2,80.45
1031,Leo Quinn,student1031@mumail.ie,2,54.9
1032,Ciara Boyle,student1032@mumail.ie,2,60.84
1033,Aaliyah Doyle,student1033@mumail.ie,2,72.69
1034,Killian Kennedy,student1034@mumail.ie,2,53.69
1035,Aaron McMahon,student1035@mumail.ie,2,65.18
1036,Aaron McCarthy,student1036@mumail.ie,2,88.06
1037,Adam Sheehan,student1037@mumail.ie,2,0.0
1038,Adam Byrne,student1038@mumail.ie,2,62.21
1039,Aaron Walsh,student1039@mumail.ie,2,95.93
1040,Ciara Doyle,student1040@mumail.ie,2,56.48
1041,Megan Boyle,student1041@mumail.ie,2,76.9
