Student ID,First Name,Last Name,Email,Lab 1,Lab 2,Lab 3,Lab 4,Lab 5,Lab 6,Lab 7,Lab 8,Lab 9,Lab 10
20743976,AALIYAH,Doyle,aaliyah.doyle@mumail.ie,0,4,4,2.56,3.84,1.96,3,3.52,3.2,0
94334509,AARON,Moran,aaron.moran@mumail.ie,4,4,4,0,4,4,2.12,2.8,0,0
36814683,ABDULA,Kennedy,abdula.kennedy@mumail.ie,0.6,3.4,2.28,2.52,2.76,3.6,2,2.48,0.88,4
32670174,ADAM,Sheehan,adam.sheehan@mumail.ie,0,0,1.72,0,0,0,0,0,0,0
54183175,ADAM,Boyle,adam.boyle@mumail.ie,0,1.12,0,0,3.28,0.92,3.28,3.4,2.52,0
40300574,ALEKSANDRS,Moran,aleksandrs.moran@mumail.ie,4,3.12,3.88,3.6,3.2,3.12,2,1.64,3.4,4
73381689,ALEX,Higgins,alex.higgins@mumail.ie,0.92,3.28,3.2,2.4,3,3.04,2.44,4,3.4,1.2
70246117,ALEX,Donovan,alex.donovan@mumail.ie,4,4,4,4,4,4,4,4,4,4
61412453,ALEX,Ryan,alex.ryan@mumail.ie,4,4,4,4,4,4,4,4,4,4
66723966,AMELIA,Moore,amelia.moore@mumail.ie,3.8,0,1.76,1.12,1.72,2.24,1.68,2.2,1.72,3.2
98615098,ANVI,Healy,anvi.healy@mumail.ie,4,4,4,4,4,4,3.6,4,1,1.72
12584561,BEN,Kavanagh,ben.kavanagh@mumail.ie,4,3.44,4,3.16,2.36,3.08,0.8,2.16,2,3.44
13148647,BENCE,O'Brien,bence.obrien@mumail.ie,4,4,4,4,4,4,4,4,4,4
52689053,CARLOS,Lynch,carlos.lynch@mumail.ie,4,4,4,4,4,4,4,2.4,0,1.72
73496760,CHIGEMEZU,Flynn,chigemezu.flynn@mumail.ie,4,3.88,2.24,3.2,2.52,3.08,3.16,3.8,4,2.68
98726176,CIAN,Brennan,cian.brennan@mumail.ie,4,3.92,4,4,3.6,3.52,2.48,0.72,0,4
41115870,CIARA,Flynn,ciara.flynn@mumail.ie,4,2.8,3.56,2.68,0.72,3.76,1.28,0.8,0,0
89490222,CIARA,Reid,ciara.reid@mumail.ie,2,4,4,3.72,2.44,2.92,1,2.36,2,2.92
35239168,CONOR,O'Neill,conor.oneill@mumail.ie,4,3.96,4,1.4,3.12,2.68,2.4,4,2,4
50419199,DANIEL,Brady,daniel.brady@mumail.ie,4,1.52,0,2.04,0.84,0,0,1.2,0,0
60813480,DAVID,Maguire,david.maguire@mumail.ie,0,1.92,0,0.32,0.48,0,0,0,1.92,0
72623279,DYLAN,Power,dylan.power@mumail.ie,0,1.08,2.2,1.4,0,0,2.04,0.68,1.24,0
46159542,EMILIA,Fitzgerald,emilia.fitzgerald@mumail.ie,4,3.48,4,3.04,2.84,3.88,0.8,0.8,0,0
31775286,EMMANUELLA,Kelly,emmanuella.kelly@mumail.ie,4,4,4,2.92,3.24,0,1.76,1.92,0,0
75163235,EOIN,Healy,eoin.healy@mumail.ie,1.92,0.24,2.24,0.24,0.52,1.32,0.4,1.8,0,0
53637669,EVE,Maguire,eve.maguire@mumail.ie,4,4,4,4,3.52,3.76,3.56,3.12,0,4
59715668,GLORIA,O'Sullivan,gloria.osullivan@mumail.ie,2.52,1.6,4,2.76,0.72,0,0,0,0,0
20679724,HANNAH,McGrath,hannah.mcgrath@mumail.ie,4,1.6,0,0,0,0,0,0,0,0
88261711,ISABELLA,Murphy,isabella.murphy@mumail.ie,3.52,2,2.12,2.64,0.48,2.84,0.44,0.96,0.4,0.16
75637165,IVAN,Maher,ivan.maher@mumail.ie,4,3.6,4,2.64,3.16,2.04,1.84,3.36,2,3.88
64549122,JACOB,Flynn,jacob.flynn@mumail.ie,4,4,4,3.6,4,4,3.2,2.72,3.2,4
